how are glacier caves formed 	A partly submerged glacier cave on Perito Moreno Glacier
how old was monica lewinsky during the affair	Monica Samille Lewinsky  born July 23  1973  is an American woman with whom United States President Bill Clinton admitted to having had an  improper relationship  while she worked at the White House in 1995 and 1996 
how old was monica lewinsky during the affair	The affair and its repercussions  which included Clinton s impeachment  became known as the Lewinsky scandal
how long was frank sinatra famous	Francis Albert  Frank  Sinatra    December 12  1915  May 14  1998  was an American singer and film actor
how long was frank sinatra famous	Beginning his musical career in the swing era with Harry James and Tommy Dorsey  Sinatra found unprecedented success as a solo artist from the early to mid1940s after being signed to Columbia Records in 1943 
how long was frank sinatra famous	Being the idol of the  bobby soxers   he released his first album  The Voice of Frank Sinatra in 1946
how long was frank sinatra famous	His professional career had stalled by the 1950s  but it was reborn in 1953 after he won the Academy Award for Best Supporting Actor for his performance in From Here to Eternity
how long was frank sinatra famous	He signed with Capitol Records in 1953 and released several critically lauded albums  such as In the Wee Small Hours  Songs for Swingin  Lovers   Come Fly with Me  Only the Lonely and Nice n  Easy 
how long was frank sinatra famous	Sinatra left Capitol to found his own record label  Reprise Records in 1961  finding success with albums such as RingaDingDing   Sinatra at the Sands and Francis Albert Sinatra  Antonio Carlos Jobim   toured internationally  was a founding member of the Rat Pack and fraternized with celebrities and statesmen  including John F Kennedy
how long was frank sinatra famous	Sinatra turned 50 in 1965  recorded the retrospective September of My Years  starred in the Emmy winning television special Frank Sinatra  A Man and His Music  and scored hits with  Strangers in the Night  and  My Way 
how long was frank sinatra famous	With sales of his music dwindling and after appearing in several poorly received films  Sinatra retired for the first time in 1971
how long was frank sinatra famous	Two years later  however  he came out of retirement and in 1973 recorded several albums  scoring a Top 40 hit with   Theme From  New York  New York  in 1980
how long was frank sinatra famous	Using his Las Vegas shows as a home base  he toured both within the United States and internationally  until a short time before his death in 1998
how long was frank sinatra famous	Sinatra also forged a highly successful career as a film actor
how long was frank sinatra famous	After winning Best Supporting Actor in 1953  he also garnered a nomination for Best Actor for The Man with the Golden Arm  and critical acclaim for his performance in The Manchurian Candidate
how long was frank sinatra famous	He also starred in such musicals as High Society  Pal Joey  Guys and Dolls and On the Town
how long was frank sinatra famous	Sinatra was honored at the Kennedy Center Honors in 1983 and was awarded the Presidential Medal of Freedom by Ronald Reagan in 1985 and the Congressional Gold Medal in 1997
how long was frank sinatra famous	He was the recipient of eleven Grammy Awards  including the Grammy Trustees Award  Grammy Legend Award and the Grammy Lifetime Achievement Award
